species,collection_id,specimen_id,sex,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,measurer_id
Anas_crecca,GNM,AvSu-11118,m,60.31,12.65,9.49,50.78,6.34,7.08,36.99,8.68,5.59,32.42,7.7,7.14,57.41,5.68,5.67,30.46,6.09,6.31,37.47,27.46,12.31,7.76,FS
Buteo_buteo,GNM,AvSu-18847,m,96.66,19.75,16.3,112.91,10.16,10.13,57.16,16.64,9.78,72.71,13.33,13.54,95.91,11.02,10.85,75.24,11.31,12.69,30.42,14.98,8.57,9.61,FS
Buteo_buteo,GNM,AvSu-16035,f,107.55,22.19,18.48,125.33,12.47,11.35,64.75,15.25,11.58,77.1,14.88,16.43,106.61,12.5,13.01,78.32,13.05,14.23,34.52,17.85,11.17,10.68,FS
Accipiter_nisus,MNHN,MNHN-ZO-AC-1997-267,m,51.46,11.9,9.87,60.11,7.78,6.08,33.29,8.21,6.27,45.1,7.27,7.58,60.11,5.76,5.97,54.36,6.46,6.09,17.56,7.33,4.53,4.83,FS
Accipiter_nisus,MNHN,MNHN-ZO-AC-1997-268,f,60.59,14.48,12.07,71.43,8.52,7.84,39.01,10.03,8.77,52.32,9.91,9.27,71.98,6.85,7.39,60.45,7.75,7.94,20.28,8.88,6.55,5.96,FS
Acridotheres_tristis,MNHN,MNHN-ZO-AC-A4350,u,33.05,9.4,7.78,40.32,5.04,3.97,23.84,5.22,3.92,31.67,5.73,5.86,54.72,5.64,4.95,38.18,5.74,4.13,24.09,7.44,6.66,3.45,FS
Aix_sponsa,MNHN,MNHN-ZO-2005-1631,m,67.97,16.73,11.75,55.66,7.68,7.97,31.44,10.84,7.26,37.86,9.76,9.75,66.65,7.79,7.27,37.8,7.87,7.56,35.8,23.72,14.74,7.51,FS
Aix_sponsa,MNHN,MNHN-ZO-AC-1997-233,u,86.09,17.45,14.03,73.76,9.61,9.93,53.97,15.16,11.12,46.23,11.14,10.48,77.68,8.05,8.32,41.46,8.84,9.07,37.78,23.73,17.14,8.36,FS
Alauda_arvensis,MNHN,MNHN-ZO-AC-1993-132,u,22.3,6.87,4.92,28.03,3.94,2.89,15.85,4.15,3.97,18.93,3.23,3.46,30.66,2.9,2.77,22.11,3.15,2.82,12.55,5.71,3.16,2.04,FS
Alectoris_rufa,MNHN,MNHN-ZO-AC-1997-1125,u,53.57,14.78,11.17,51.44,6.9,7.18,31.08,8.76,4.54,63.06,13.85,11.93,83.92,9.89,8.79,49.52,9.21,9.75,23.82,11.22,8.49,5.49,FS
Alopochen_aegyptiaca,MNHN,MNHN-ZO-AC-1911-39,u,141.43,31.92,22.34,137.07,15.16,15.53,83.25,27.6,15.68,74.18,18.66,20.3,149.89,16.78,14.92,96.16,16,17.09,51.31,27.9,20.82,12.7,FS
Amazona_amazonica,MNHN,MNHN-ZO-2009-833,u,51.17,14.03,11.24,63.52,8.29,6.94,34.25,9.8,7.03,42.29,8.46,8.47,56.41,7.54,7.88,19.65,9.34,10.32,32.54,22.99,15.05,12.74,FS
Anas_acuta,MNHN,MNHN-ZO-AC-1986-35,u,80.56,18.59,12.98,72.21,8.92,9.2,30.15,11.66,8.13,40.6,9.98,9.63,72.35,7.74,7.81,40.11,8.3,8.33,47.9,34.61,17.44,10.29,FS
Anas_acuta,MNHN,MNHN-ZO-AC-1997-234,u,74.64,16.52,11.4,66.3,6.94,7.37,30.5,10.06,NA,39.11,9.03,8.84,69.44,7.04,6.85,39.54,7.45,7.55,41.91,29.89,17.24,7.69,FS
Anser_anser,MNHN,MNHN-ZO-AC-1993-94,f,155,32.85,22.46,144,15.43,13.84,85.18,20,12.93,74.67,18.96,18.63,137.61,15.08,15.62,75.67,16.99,16.28,63.66,28.38,20.5,9.09,FS
Anser_anser,MNHN,MNHN-ZO-AC-1997-241,u,177,35.89,25.9,169,17.43,16.04,98.69,22.81,14.01,84.23,20.3,19.86,150.38,15.09,16.25,86.41,17.53,18.25,64.33,29.4,22.43,9.16,FS
Anthus_campestris,MNHN,MNHN-ZO-2010-123,u,21.25,6.68,5.46,28.28,3.63,2.79,15.08,3.56,3.3,19.15,3.2,3.23,34.58,3.31,2.73,26.42,2.98,2.37,16.64,8.17,3.08,1.86,FS
Anthus_trivialis,MNHN,MNHN-ZO-2009-876,u,19.48,5.93,4.58,25.51,3.09,2.48,13.19,3.38,2.4,17.25,2.78,2.59,30.39,2.46,2.05,21.61,2.57,2.13,14.14,6.62,2.94,2.13,FS
Apus_apus,MNHN,MNHN-ZO-AC-1997-995,u,12.36,5.65,5.1,20.08,5.61,3.69,18.43,4.43,5.21,18.84,3.67,3.18,25.79,3.1,2.95,10.49,3.03,2.93,NA,NA,NA,NA,FS
Apus_apus,MNHN,MNHN-ZO-AC-1997-508,u,12.08,5.5,5.13,17.69,4.38,3.94,19.85,5.71,5.22,15.88,3.45,3.22,22.38,2.89,3.04,10.48,2.89,3.03,10.84,2.76,2.03,1.51,FS
Asio_otus,MNHN,MNHN-ZO-AC-1997-450,f,82.61,14.33,12.69,91.77,9.27,8,41.78,9.19,8.37,55.02,9.34,9.34,80.91,7.99,8.95,40.33,8.7,9.76,26.7,10.39,5.29,6.64,FS
Aythya_ferina,MNHN,MNHN-ZO-AC-1993-99,u,86.49,19.6,11.65,77.3,8.41,8.35,NA,NA,NA,NA,10.46,10.12,NA,8.43,8.88,39.66,9.48,9.88,47.24,30.64,18.4,9.97,FS
Aythya_fuligula,MNHN,MNHN-ZO-2004-640,f,80.41,17.46,11.42,71.38,8,7.56,44.28,9.66,6.53,42.57,10.06,9.58,73.43,7.41,7.85,34.01,8.34,8.75,40.21,25.16,20.38,9.91,FS
Aythya_fuligula,MNHN,MNHN-ZO-AC-1993-353,u,78.42,16.58,10.75,68.06,7.73,8.06,41.54,9.46,8.64,42.27,10.21,9.5,71.95,7.56,7.62,33.69,7.94,8.17,38.46,25.17,19.75,10.18,FS
Bombycilla_cedrorum,MNHN,MNHN-ZO-AC-1883-2040,f,20.94,6.79,5.37,NA,NA,NA,15.92,4.15,NA,19.35,3.74,3.31,29.61,3.62,2.79,17.06,3.23,2.4,14.64,4.97,9.16,3.83,FS
Cairina_moschata,MNHN,MNHN-ZO-AC-1852-556,u,145.35,33.14,22.25,126.1,14.28,16.3,84.34,18.96,15.09,76.81,19.75,19.22,121.4,15.53,16.56,66.68,16.8,15.7,NA,NA,NA,NA,FS
Cardinalis_cardinalis,MNHN,MNHN-ZO-2010-117,f,22.26,6.56,5.58,25.57,3.74,2.95,13.91,3.43,3.81,21.85,3.83,3.79,35.99,3.34,3.06,25.53,3.22,2.29,19.19,10.94,7.46,4.57,FS
Cathartes_aura,MNHN,MNHN-ZO-AC-A4004,u,131.34,28.7,23.12,149.24,15.93,14.18,73.2,18.8,15.22,84.94,20.31,19.44,139.48,15.55,11.99,80.17,14.98,15.93,55.31,19.47,13.06,6.97,FS
Chrysolophus_pictus,MNHN,MNHN-ZO-AC-1982-58,f,50.94,13.03,10.52,46.43,6.77,6.96,26.41,8.18,3.97,67.22,11.33,10.43,94.53,9.03,7.81,62.88,8.32,8.87,27.06,9.41,6.75,4.29,FS
Chrysolophus_pictus,MNHN,MNHN-ZO-AC-1997-707,u,53.98,14.26,10.9,49.84,7.29,7.52,28.72,6.65,4.48,70.83,12.39,11.34,99.51,9.38,8.78,66.63,9.26,9.46,29.36,10.43,8.2,5.03,FS
Circus_aeruginosus,MNHN,MNHN-ZO-AC-1992-11,f,108.34,21.01,17.59,124.78,17.81,10.71,66.14,15.8,11.65,74.82,13.52,14.65,111.75,11.53,11.19,88.94,12.17,12.67,34.61,15.64,10.42,11,FS
Circus_aeruginosus,MNHN,MNHN-ZO-AC-1992-23,u,111.43,20.26,17.46,129.58,12.56,10.74,67.39,15.57,12.08,74.93,14.65,14.33,111.81,11.33,11.57,89.07,11.14,12.38,34.57,15.42,9.6,10.23,FS
Circus_cyaneus,MNHN,MNHN-ZO-AC-1993-109,f,94.91,18.92,15.52,110.1,11.69,9.45,59.66,13.92,10.87,72.32,11.9,12.18,100.51,9.13,9.19,76.85,9.7,10.16,28.42,12.13,7.5,8.5,FS
Circus_cyaneus,MNHN,MNHN-ZO-AC-1997-1198,f,94.35,18.41,15.74,110.96,11.76,10.46,60.45,13.93,11.14,73.43,12.3,12.65,102.36,9.87,9.67,79.22,9.94,10.22,28.31,12.05,8.4,8.14,FS
Colaptes_auratus,MNHN,MNHN-ZO-AC-1883-2037,u,38.95,12.19,8.87,46.41,6.73,5.46,22.03,6.99,5.31,29.98,6.23,5.97,43.91,5.23,4.64,28.65,5.91,4.54,30.05,17.5,7.76,3.61,FS
Columbina_passerina,MNHN,MNHN-ZO-2009-820,u,18.49,5.03,4.69,22.29,3.32,3.11,12.79,3.85,3.49,19.18,3.53,3.27,26.89,2.84,2.67,15.46,3.18,3.53,13.57,5.02,1.78,1.19,FS
Columbina_passerina,MNHN,MNHN-ZO-2009-818,u,18.79,5.5,4.77,22.72,3.28,3.09,12.83,3.56,3.61,19.5,3.48,3.18,NA,2.78,2.76,15.33,3.3,3.69,13.77,4.11,1.93,1.08,FS
Coracias_garrulus,MNHN,MNHN-ZO-AC-1997-1080,u,47.07,9.26,8.12,55.76,5.78,5.3,26.65,6.78,4.61,26.81,5.27,5.23,39.07,4.31,4.35,22.24,4.78,4.8,34.58,18.41,8.66,8.72,FS
Coracina_caledonica,MNHN,MNHN-ZO-AC-1997-541,m,42.12,11.35,9.59,50.36,6.59,5.63,29,7.32,5.18,35.8,6.79,6.64,52.37,5.54,5.68,34.63,5.88,4.19,35.96,20.23,11.48,8.31,FS
Coracopsis_nigra,MNHN,MNHN-ZO-AC-1883-508,u,50.19,12.61,10.17,59.11,7.59,6.56,36.84,9.03,6.25,55.6,5.81,6.42,NA,7.83,7.45,22.38,7.3,9.64,25.2,18.13,11.39,10.69,FS
Coturnix_japonica,MNHN,MNHN-ZO-2007-187,u,40.08,9.97,6.65,34.68,4.29,4.46,21.96,6.65,4.3,42.93,5.57,6.65,51.69,6.02,5.69,33.72,5.87,6.32,17.14,5.93,4.73,3.05,FS
Coua_pyropyga,MNHN,MNHN-ZO-AC-1883-517,u,39.55,9.82,8.58,33.86,5.39,5.14,17.24,6.21,3.61,39.99,8.22,7.33,63.69,5.93,5.78,43.47,6.09,6.33,21.25,8.23,8.41,8.72,FS
Coua_ruficeps,MNHN,MNHN-ZO-AC-1883-522,u,40.51,10.27,8.68,35.24,6,6.07,18.29,6.55,3.72,43.55,8.99,8.62,76.12,7.73,6.59,57.55,7.22,7.09,24.42,10.55,5.08,4.27,FS
Coua_ruficeps,MNHN,MNHN-ZO-AC-1883-520,u,38.55,9.85,8.21,33.01,5.64,5.32,16.03,6.11,5.27,39.2,8.22,7.39,NA,5.95,5.89,44.63,6.39,6.83,21.43,8.88,5.8,4.37,FS
Crotophaga_ani,MNHN,MNHN-ZO-AC-1880-87,u,35.26,8.42,6.94,29.59,4.89,4.44,16.01,4.77,3.4,34.96,6.1,5.79,51.13,4.79,4.66,35.34,4.96,6.48,27.04,12.47,10.19,6.82,FS
Cyanoramphus_novaezelandiae,MNHN,MNHN-ZO-AC-1879-33,u,33.66,8.3,7.31,40.65,5.44,5.03,29.31,8.43,5.59,24.68,4.89,6.57,38.73,3.95,3.78,13.52,4.11,5.46,14.04,8.26,5.89,8.5,FS
Dacelo_novaeguineae,MNHN,MNHN-ZO-AC-1870-1,u,69.7,14.35,12.55,84.04,8.42,8.98,35.9,9.66,5.63,39.35,8.86,8.27,57.96,6.35,6.72,26.72,7.57,7.39,60.05,35.73,21.16,10.31,FS
Dacelo_novaeguineae,MNHN,MNHN-ZO-AC-1869-425,u,73.79,14.21,12.63,90.33,8.65,7.86,NA,NA,NA,40.05,8.7,8.43,59.96,6.78,6.63,26.73,7.42,7.61,64.07,39.32,22.21,12.7,FS
Emberiza_citrinella,MNHN,MNHN-ZO-AC-1997-1170,u,20.07,6.57,5.02,NA,3.48,NA,14.05,3.47,2.92,18.14,3.14,3.13,28.9,2.83,2.57,19.65,2.79,2.21,12.21,5.91,3.79,1.87,FS
Estrilda_astrild,MNHN,MNHN-ZO-AC-1997-554,u,11.17,3.37,2.52,12.82,2.1,1.6,7.72,2.59,2.28,10.02,1.66,1.58,17.38,1.61,1.61,12.19,1.82,1.6,8.37,5.6,3.69,3.02,FS
Estrilda_melpoda,MNHN,MNHN-ZO-AC-1997-555,u,11.42,3.66,2.86,13.62,2.07,1.58,7.23,2.13,2.75,11.15,1.92,2.05,19.74,1.82,1.77,13.61,1.94,2,9.36,6.29,4.31,3.26,FS
Estrilda_troglodytes,MNHN,MNHN-ZO-2009-840,m,12.02,3.67,3.01,13.92,2.09,1.47,7.33,1.92,1.79,11.37,1.9,2.06,18.46,1.81,1.58,12.54,1.76,1.31,7.56,4.41,3.48,2.08,FS
Eunymphicus_uvaeensis,MNHN,MNHN-ZO-AC-1997-437,u,34.73,9.32,7.88,39.72,6.15,5.4,26.32,6.45,4.5,31.34,7.05,6.46,47.57,5.47,5.63,19.72,5.93,6.82,23.6,16.12,12.07,9.94,FS
Eurystomus_glaucurus,MNHN,MNHN-ZO-AC-1880-104,u,47.26,10.47,8.68,57.32,5.98,5.69,26.51,7.38,5.17,25.93,5.36,5.05,32.93,4.05,4.26,17.2,4.62,4.82,NA,NA,NA,NA,FS
Falco_columbarius,MNHN,MNHN-ZO-AC-1997-317,u,50.07,12.05,9.48,56.37,7.56,6.53,34.34,9.2,6.04,46.6,8.31,7.38,58.69,6.29,7.05,38.63,7.46,7.1,18.5,9.09,7.32,6.07,FS
Falco_columbarius,MNHN,MNHN-ZO-AC-1997-1112,u,51.1,12.62,10.23,57.84,7.81,6.27,34.64,9.42,6.27,47.37,8.01,7.87,59.3,6.9,6.94,38.42,7.17,6.88,18.48,8.93,6.52,6.1,FS
Falco_sparverius,MNHN,MNHN-ZO-AC-1875-889,m,37.43,8.38,7.05,41.62,5.41,4.35,24.21,6.93,4.76,35.52,6.46,5.97,48.87,5.05,5.64,34.66,5.67,5.88,14.54,7.35,5.99,5.75,FS
Falco_subbuteo,MNHN,MNHN-ZO-AC-1997-1152,u,52.48,12.77,10.44,59,8.18,6.7,36.75,10.01,6.17,41.75,7.83,7.81,53.78,6.14,6.85,32.94,7.29,6.4,16.98,9.09,8.5,6.51,FS
Falco_subbuteo,MNHN,MNHN-ZO-2004-638,u,58.08,14.18,10.69,66.71,7.88,7.43,39.36,10.82,6.56,45.59,8.91,8.07,59.51,6.31,7.44,35.07,7.59,6.88,20.27,9.98,8.13,6.71,FS
Falco_tinnunculus,MNHN,MNHN-ZO-AC-1997-1047,f,50.87,11.68,9.34,57.26,7.44,5.75,32.04,8.88,6.02,56.19,6.53,7.22,42.57,8.51,8.08,37.74,7.39,6.87,18.01,10.11,7.64,6.5,FS
Falco_tinnunculus,MNHN,MNHN-ZO-AC-1997-326,m,49.43,11.43,9.18,57.21,7.71,5.83,33.22,9.33,6.06,41.93,8.58,7.81,56.02,6.52,6.81,37.08,7.59,6.53,18.6,10.14,7.93,6.2,FS
Ficedula_hypoleuca,MNHN,MNHN-ZO-AC-1997-598,m,14.63,4.79,4.04,20.33,2.73,2.07,11.8,2.76,2.46,13.14,2.26,2.34,23.87,2.33,1.88,17.43,2.16,1.58,12.69,4.9,3.66,1.48,FS
Ficedula_hypoleuca,MNHN,MNHN-ZO-AC-1997-597,m,14.49,4.83,4.15,19.66,2.63,2.16,12.15,2.72,2.75,13.23,2.21,2.34,24.01,2.26,1.83,17.01,2.22,1.47,12.32,4.69,3.89,1.65,FS
Forpus_passerinus,MNHN,MNHN-ZO-2009-834,m,18.37,4.79,4.01,21.7,3.04,2.91,14.09,3.75,2.75,18.01,3.41,2.94,24.39,2.74,2.97,10.6,3.32,4.17,13.67,8.83,6.76,5.01,FS
Fringilla_coelebs,MNHN,MNHN-ZO-AC-1997-1038,f,18.21,5.96,4.64,22.66,3.09,2.62,12.78,3.2,2.51,15.74,2.81,2.86,NA,2.77,2.18,17.92,2.53,2.09,13.03,7.42,5.46,2.67,FS
Fringilla_coelebs,MNHN,MNHN-ZO-AC-1997-1055,m,18.58,5.86,4.46,22.62,3.07,2.23,12.85,3.37,2.56,16.32,2.72,2.79,NA,2.61,NA,19.36,2.74,2.12,13.62,7.46,5.07,2.45,FS
Fringilla_coelebs,MNHN,MNHN-ZO-AC-1997-847,f,18.35,6.08,4.68,22.69,3.2,2.52,12.93,3.22,3.47,15.88,2.78,2.79,27.18,2.6,2.33,18.16,2.56,2.13,12.51,6.89,4.97,2.4,FS
Fringilla_coelebs,MNHN,MNHN-ZO-AC-1997-1059,m,19.22,6.34,4.99,NA,3.23,NA,13.32,3.42,3.65,16.56,3.29,2.89,28.06,2.72,2.26,19.2,2.64,2.07,2.48,6.58,5.25,2.87,FS
Fulica_atra,MNHN,MNHN-ZO-AC-1886-644,u,70.43,13.47,9.21,62.07,7.18,6.68,38.34,7.72,5.05,52.64,11.31,9.88,97.23,8.81,8.42,55.91,9.01,8.75,32.97,10.93,4.22,4.08,FS
Gallinula_chloropus,MNHN,MNHN-ZO-AC-1997-1100,u,55.25,11.12,8.35,44.99,6.01,5.95,34.42,5.83,4.43,54.35,9.96,9.2,91.52,7.94,7.29,54.03,7.7,8.08,29.1,9.92,4.08,3.5,FS
