species,collection_id,specimen_id,sex,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,measurer_id
Geopelia_striata,MNHN,MNHN-ZO-AC-1931-452,u,24.09,6.6,5.67,27.9,3.77,3.87,15.56,4.45,5.46,22.69,4.14,3.97,31.93,3.95,3.49,18.72,4.01,4.28,13.94,3.46,1.71,1.31,FS
Geotrygon_montana,MNHN,MNHN-ZO-AC-1993-116,f,33.67,9.62,8.2,41.11,5.56,5.58,23.15,6.96,3.94,33.45,5.75,5.79,48.56,4.84,4.76,30.37,5.67,6.14,18.65,4.32,2.11,1.79,FS
Gerygone_flavolateralis,MNHN,MNHN-ZO-AC-1997-535,u,10.83,3.39,2.85,13.27,1.9,1.56,7.13,1.91,1.58,NA,2.07,2.09,22.89,1.77,1.82,18.06,2.06,1.27,12.02,6.04,2.23,1.31,FS
Glareola_ocularis,MNHN,MNHN-ZO-AC-1996-14,u,39.25,8.79,6.22,51.1,5.3,3.93,29.03,6.52,5.72,25.43,4.58,4.58,45.54,3.45,3.6,34.44,4.23,4.17,21.11,8.2,5.07,3.4,FS
Gracula_religiosa,MNHN,MNHN-ZO-AC-1995-234,m,37.45,13.12,9.57,47.44,6.69,5.9,28.73,6.93,6.18,35.46,6.99,6.75,54.32,5.8,5.61,32.6,6.02,5.23,28.28,15.55,8.31,5.85,FS
Haliastur_sphenurus,MNHN,MNHN-ZO-AC-1859-28,m,114.99,22.23,18.82,132.79,13.51,11.38,64.71,15.52,10.48,65.64,14.47,13.23,87.17,10.47,10.83,57.37,11.46,12.88,35.22,19.29,12.58,11.89,FS
Hieraaetus_pennatus,MNHN,MNHN-ZO-AC-1889-263,u,149.51,28.71,23.52,179,17,15.11,79.97,19.66,15.39,90.79,22.22,19.89,136.14,14.92,14.88,93.61,15.96,18.9,43.03,20.56,11.94,12.2,FS
Hirundo_rustica,MNHN,MNHN-ZO-2009-866,m,14.27,5.95,4.15,23.17,3.28,2.45,15.02,3.96,3.73,12.1,2.16,2.17,20.44,1.77,1.96,10.16,2.58,1.56,10.02,4.32,3.48,1.19,FS
Larus_ridibundus,MNHN,MNHN-ZO-AC-2000-31,m,75.23,13.45,9.88,85.84,8.17,5.73,45.11,9.29,6.34,34.64,6.48,6.46,70.26,5.2,6.05,42.3,6.02,5.89,43.4,16.77,4.03,4.6,FS
Leiothrix_lutea,MNHN,MNHN-ZO-AC-1997-888,u,16.52,5.6,4.55,19.18,2.96,2.39,10.35,3.21,3.17,18.75,3.5,3.72,NA,3.91,2.96,24.44,3.13,1.86,13.89,5.62,2.83,2.05,FS
Mergus_serrator,MNHN,MNHN-ZO-AC-1997-680,u,80.24,18.09,11.29,66.1,8.04,8.37,47.42,10.81,8.2,43.83,11.46,11.44,NA,8.85,8.89,42.12,9.23,9.45,NA,NA,NA,NA,FS
Milvus_migrans,MNHN,MNHN-ZO-AC-1997-705,u,117.96,23.11,19.19,135.68,13.34,11.57,67.87,15.79,13.16,65.04,14.05,13.76,87.95,10.19,10.8,55.99,11.36,12.32,33.69,18.78,11.19,8.84,FS
Milvus_migrans,MNHN,MNHN-ZO-AC-1997-295,u,124.51,24.28,20.75,144.35,14.56,11.47,73.39,18.08,13.88,67.07,13.28,13.66,87.84,10.61,10.32,59.21,11.55,13.27,35.94,20.08,11.04,9.53,FS
Molothrus_bonariensis,MNHN,MNHN-ZO-2009-875,u,21.62,6.53,5.22,25.91,3.48,2.76,14.25,3.77,3.23,19.56,3.53,3.5,32.08,3.1,2.87,22.58,3.17,2.57,15.29,8.54,4.27,2.65,FS
Motacilla_alba,MNHN,MNHN-ZO-2009-877,f,19.43,6.26,4.76,26.19,3.48,2.82,14.7,3.45,2.92,17.34,3.01,2.99,32.64,2.73,2.37,24.36,2.93,2.26,14.59,7.42,3.28,1.94,FS
Motacilla_flava,MNHN,MNHN-ZO-AC-1997-593,m,17.26,6.56,4.29,NA,NA,NA,12.82,3.15,2.71,15.57,2.71,2.62,31.85,2.53,2.19,23.8,2.71,2.07,14.57,7.26,3.23,1.73,FS
Muscicapa_striata,MNHN,MNHN-ZO-AC-1997-602,m,15.68,5.27,4.62,21.54,2.83,2.41,12.66,3.11,3.26,13.19,2.41,2.32,21.76,2.17,2.07,14.56,2.34,1.78,14.84,6.5,4.24,1.83,FS
Neophron_percnopterus,MNHN,MNHN-ZO-AC-1997-298,f,146.77,30.7,25.83,169,16.25,15.01,78.18,19.85,16.75,71.96,20.37,18.99,117.91,14.49,15.17,75.83,15.38,17.77,58.84,30.48,8.32,8.79,FS
Neophron_percnopterus,MNHN,MNHN-ZO-AC-1995-5,u,151.01,30.56,25.48,174.5,16.53,14.66,81.39,19.67,16.96,72.11,19.11,18.55,120.29,14.87,14.64,79.9,15.09,16.51,58.27,26.75,8.68,7.76,FS
Numida_meleagris,MNHN,MNHN-ZO-AC-1885-332,u,80.87,20.35,16.09,77.59,10.35,10.53,41.53,13.07,7.12,87.14,18.22,16.34,121.28,13.71,11.96,75.48,13.37,13.28,30.02,11.63,9.73,8.55,FS
Oriolus_oriolus,MNHN,MNHN-ZO-AC-1993-131,f,30.33,10.76,7.75,40.75,5.37,4.4,23.92,5.72,5.63,25.44,4.87,4.68,36.46,4.17,3.82,21.67,4.38,3.04,26.55,15.52,7.06,4.41,FS
Pachycephala_rufiventris,MNHN,MNHN-ZO-AC-1997-605,f,18.66,5.75,5.05,23.17,3.1,2.56,12.83,3.47,3.43,NA,NA,3.18,30.26,2.77,2.68,21.92,2.88,2.18,16.12,7.59,4.59,3.18,FS
Pandion_haliaetus,MNHN,MNHN-ZO-AC-1996-48,u,130.35,28.45,20.7,164,13.79,12.23,81.83,16.91,14.08,71.44,16.72,14.53,114.07,12.48,13.34,49,13.43,14.34,36.22,20.56,13.14,11.6,FS
Pandion_haliaetus,MNHN,MNHN-ZO-AC-1997-300,u,137.74,28.09,22,171,14.66,12.78,83.96,18.47,15.02,72.99,16.7,15.18,119.33,12.76,13.8,48.9,14.11,14.6,36.34,19.88,12.31,11.98,FS
Passer_domesticus,MNHN,MNHN-ZO-AC-1994-75,m,18.34,5.74,4.39,21.09,3.11,2.56,12.45,3.02,2.64,18.14,3.15,3.28,28.2,3.33,2.76,18.5,3.12,2.21,14.5,8.72,6.61,4.09,FS
Passer_domesticus,MNHN,MNHN-ZO-AC-A4480,f,18.44,5.84,4.73,21.51,3.19,3.25,12.17,4.07,3,18.76,3.32,3.36,29.31,3.06,2.59,19.37,2.93,2.02,12.9,7.02,5.9,2.66,FS
Passer_montanus,MNHN,MNHN-ZO-AC-1883-2086,m,16.25,5.21,3.96,18.2,2.83,2.31,11.11,3.75,2.38,16.8,2.82,2.85,26.14,2.47,2.22,16.99,2.82,1.83,12.29,6.9,4.64,3.95,FS
Phaethon_aethereus,MNHN,MNHN-ZO-2007-199,u,94.13,20.1,13.59,98.6,9.54,8.43,48.14,11.83,9.24,37.43,7.15,7.1,53.45,6.5,6.66,27.83,6.89,7.14,61.55,42.59,8.75,9.47,FS
Phaethon_aethereus,MNHN,MNHN-ZO-AC-1997-198,u,94.89,19.72,13.83,100.57,9.59,8.65,49.99,12,9.63,37.98,7.34,6.86,55.37,6.83,6.69,29.05,6.71,7.06,62.19,41.71,8.6,9.94,FS
Phasianus_colchicus,MNHN,MNHN-ZO-AC-A4422,f,72.43,19.7,16.51,70.74,10.29,9.6,38.42,14.32,NA,83.03,17.68,15.47,115.65,12.09,11.27,79.3,12.34,12.71,36.07,13.56,9.76,7.96,FS
Phoenicurus_ochruros,MNHN,MNHN-ZO-AC-1997-804,u,16.36,5.5,4.57,21.45,2.81,2.41,12.36,3.15,3.06,14.87,2.53,2.68,28.49,2.22,2.48,22.64,2.54,1.89,13.48,5.8,3.12,1.37,FS
Platycercus_elegans,MNHN,MNHN-ZO-AC-1997-924,u,34.23,9.41,7.6,39.56,5.92,5.21,27.96,6.85,6.4,31.11,6.09,5.99,44.87,4.85,5.11,20.15,5.86,6.25,18.7,11.49,9.79,8.39,FS
Platycercus_eximius,MNHN,MNHN-ZO-AC-1997-922,u,30.94,7.95,6.82,35.37,5.59,4.74,24.78,5.91,4.25,27.86,5.35,5.36,44.88,4.24,4.65,17.56,5.03,5.76,16.4,9.65,8.27,6.95,FS
Platycercus_eximius,MNHN,MNHN-ZO-AC-1997-921,u,32.29,8.87,7.46,37.89,5.9,5.2,26.04,6.79,4.58,29.78,6.09,5.97,44.49,4.7,4.82,19.18,5.65,6.32,16.93,10.66,9.72,7.78,FS
Poicephalus_senegalus,MNHN,MNHN-ZO-AC-1881-147,u,36.39,8.87,7.48,42.36,5.55,4.8,26.9,6.81,5.74,31.82,6.16,5.83,43.85,5.09,5.47,16.8,6.76,7.99,23.48,16.81,12.81,10.48,FS
Porphyrio_porphyrio,MNHN,MNHN-ZO-AC-1849-415,m,71.34,14.51,10.59,61.71,7.33,7.69,42.53,9.24,5.68,72.48,12.38,12.44,127.83,10.24,10.07,83.37,10.77,11.55,37.79,18.17,7.62,10.25,FS
Porphyrio_porphyrio,MNHN,MNHN-ZO-AC-1871-415,u,75.6,14.61,11.11,64.59,8.55,7.56,47.87,12.51,6.31,81.02,15.17,14.25,136.24,12.13,11.66,89.6,11.87,12.81,45.97,24.41,7.77,10.94,FS
Prunella_modularis,MNHN,MNHN-ZO-AC-1997-1221,f,16.82,5.2,3.89,19.06,2.63,2.13,11.14,2.75,2.72,17.97,3.03,2.9,NA,2.61,2.31,20.97,2.61,2.08,12.84,6.04,3.32,1.25,FS
Rhynochetos_jubatus,MNHN,MNHN-ZO-AC-1866-128,u,61.33,14.35,13.34,62.1,8.26,7.87,32.82,10.53,NA,68.4,16.7,15.07,124.01,12.7,11.71,98.35,13.52,14.6,63.5,18.87,5.71,4.82,FS
Rhynochetos_jubatus,MNHN,MNHN-ZO-AC-1866-128,u,67.01,15.92,13.86,67.09,10.15,7.84,36.2,11.94,7.98,76.62,17.85,16.11,130.17,12.83,12.41,106.82,14.28,14.27,NA,NA,NA,NA,FS
