species,genus,family,order,superorder,status,flight_ability,beak_length_culmen,beak_length_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,tail_length,body_mass,reference_id
Accipiter_albogularis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,27.7,17.8,10.6,14.7,62,235.2,81.8,169,248.8,Avonet
Accipiter_badius,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.6,12.1,8.8,11.6,43,186.7,62.5,140.6,131.2,Avonet
Accipiter_bicolor,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25,13.7,8.6,12.7,58.1,229.6,56.6,186.3,287.5,Avonet
Accipiter_brachyurus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,22.5,14,8.9,11.9,61.2,202.2,64.1,140.8,142,Avonet
Accipiter_brevipes,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,21.1,12.1,8.7,11.1,46.4,217.6,87.8,153.5,186.5,Avonet
Accipiter_butleri,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20,11.9,6.6,12,48.7,166,42.9,127,122,Avonet
Accipiter_castanilius,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.5,11.5,8.3,10.9,52.6,163.5,38.9,135.4,157.5,Avonet
Accipiter_cirrocephalus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,19.2,10.6,7.7,9.6,60.3,213,81.3,155.4,165.7,Avonet
Accipiter_collaris,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20,11.2,8.6,11,43.6,165.9,49.5,125,97.8,Avonet
Accipiter_cooperii,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.4,13.9,8.6,13.2,62,241.2,77.8,188.4,429.7,Avonet
Accipiter_erythrauchen,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,21.1,12.2,8.6,11.2,59.5,191.2,58.9,154.8,156,Avonet
Accipiter_erythropus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,17.6,9.7,7.2,9.6,43,154.6,40.9,104.4,111.2,Avonet
Accipiter_fasciatus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,28.5,19.1,11.2,15.2,71.9,269.9,103.6,206,358.7,Avonet
Accipiter_francesiae,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.2,13.1,8.7,10.7,48.1,155.8,43.2,127.5,136.8,Avonet
Accipiter_gentilis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.7,19.6,11.6,18,67.3,337.6,122.6,241.1,866,Avonet
Accipiter_griseiceps,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,24.1,14.6,8.8,12.4,52,187.2,50,141.2,251.8,Avonet
Accipiter_gularis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,23.3,9.5,6.6,9.1,43.6,162.6,54.2,106.4,120.7,Avonet
Accipiter_gundlachi,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,26,15.2,8.3,16.3,71.3,228,61.8,223,675,Avonet
Accipiter_haplochrous,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,23.7,13.9,9.6,13.2,58.9,227.8,74.5,155,198.4,Avonet
Accipiter_henicogrammus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,27.9,15.9,10,13.6,65.1,230.2,72,190,358.7,Avonet
Accipiter_henstii,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,32.6,18.1,11.8,17.2,75,290.5,78,245,1050,Avonet
Accipiter_hiogaster,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,26,15.9,9.4,13.9,51.1,197.2,60.8,136.5,326.1,Avonet
Accipiter_imitator,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,26.4,16.8,9.1,12.2,49.6,200,60,161,222.5,Avonet
Accipiter_luteoschistaceus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,26.4,16.8,7.8,11.9,51.5,188,57,146,214,Avonet
Accipiter_madagascariensis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,19.7,10.7,7.4,9.4,58,190.8,54.5,149.5,180.4,Avonet
Accipiter_melanochlamys,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.9,15.6,11,13.9,62.7,228.6,75,164.8,265,Avonet
Accipiter_melanoleucus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,29.6,18,10.3,16.3,75.8,302.8,107.2,219.4,699,Avonet
Accipiter_meyerianus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,35,20.6,12.6,18.6,75.4,309.5,102,200,763.5,Avonet
Accipiter_minullus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.2,87.4,Avonet
Accipiter_nanus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,17.6,10.6,7.6,10.1,46.6,152.4,44.9,109,117,Avonet
Accipiter_nisus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,19.6,11.4,8.4,10,53.6,207.4,74.2,155.5,220.8,Avonet
Accipiter_novaehollandiae,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.6,19.9,11.5,16.5,69,261.9,76,183.6,326.1,Avonet
Accipiter_ovampensis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.5,11.2,7.5,10.3,49.4,222.4,86.2,155,195,Avonet
Accipiter_poliocephalus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25,15.4,10.1,13.7,60.3,210.5,67.8,157.2,214.8,Avonet
Accipiter_poliogaster,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,27.7,14.9,8,13.2,52.4,240.4,72.6,174.6,315,Avonet
Accipiter_princeps,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.6,22.2,13.8,17.8,68,266.3,77.8,192.3,214.8,Avonet
Accipiter_rhodogaster,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.5,11.8,7.9,10.8,53.4,172.6,51.6,125.8,172.7,Avonet
Accipiter_rufitorques,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,26,15.4,10.3,13.7,59.2,217.6,73.5,146,209,Avonet
Accipiter_rufiventris,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.3,10.7,7.8,10,54.2,218.6,83,165.8,198,Avonet
Accipiter_soloensis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.6,11.4,8.6,9.7,39.5,187.8,73.1,123.4,164.8,Avonet
Accipiter_striatus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,18.3,10.1,7.3,9.4,49.9,181.6,56.6,134.3,130.6,Avonet
Accipiter_superciliosus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,19.4,10.8,6.7,10.4,37.4,146.4,38.6,104.6,96.4,Avonet
Accipiter_sylvestris,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,26,14.9,9.2,13.1,54.5,206.4,66,146.9,326.1,Avonet
Accipiter_tachiro,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,18,15.3,9.1,12.4,65.7,217.4,55.6,175,290.2,Avonet
Accipiter_toussenelii,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,24.4,13.9,9.2,11.9,62.1,189,48.2,157.2,249.3,Avonet
Accipiter_trinotatus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.4,13.3,8.6,11.2,48.2,162.9,43,128.8,146,Avonet
Accipiter_trivirgatus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.7,17.3,10.5,14.1,56.9,216.2,49.6,171.9,265,Avonet
Accipiter_virgatus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.9,117,Avonet
Aegypius_monachus,Aegypius,Accipitridae,Accipitriformes,Neoaves,Extant,1,87.8,59.9,27.9,39.8,134.2,734.2,302.2,371,9320.6,Avonet
Aquila_adalberti,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,61.2,39.8,21.1,31,98.4,592.5,235,297,2958,Avonet
Aquila_africana,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,39.4,23.4,12.8,20.4,76.6,342.2,93.8,277.8,1047,Avonet
Aquila_audax,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,60.5,40.9,19.6,31.2,104,617.7,244.5,387,3449.9,Avonet
Aquila_chrysaetos,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,56.8,37,18.5,28.4,101.4,603.1,221.2,307.1,4248,Avonet
Aquila_fasciata,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,45.7,28.9,16.2,23.7,93.2,486.8,181.8,260,1936.5,Avonet
Aquila_gurneyi,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,55.4,33.3,16.6,21.9,99.4,544.5,183.8,365.5,3060,Avonet
Aquila_heliaca,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,59,37.5,19.8,28.4,93.7,582.2,230.8,316.2,3125.2,Avonet
Aquila_nipalensis,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,54.1,32.4,17.7,25.2,95.1,559.6,225.2,271.4,2714.3,Avonet
Aquila_rapax,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,54,31.5,16.8,24.3,84.3,506.6,196,242.4,2236.1,Avonet
Aquila_spilogaster,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,44,27.5,14.4,22.6,91.1,427.6,151.2,254.8,1466.2,Avonet
Aquila_verreauxii,Aquila,Accipitridae,Accipitriformes,Neoaves,Extant,1,58.2,35.5,18.3,27.6,117.4,590.2,200.5,403.5,4195,Avonet
Aviceda_cuculoides,Aviceda,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.5,17.1,10.6,13.9,33,264.6,114,154.2,277,Avonet
Aviceda_jerdoni,Aviceda,Accipitridae,Accipitriformes,Neoaves,Extant,1,45.5,21.7,12.9,15.9,34.7,302.8,76.9,211,363,Avonet
Aviceda_leuphotes,Aviceda,Accipitridae,Accipitriformes,Neoaves,Extant,1,24.6,16.4,10.2,12.5,25,230.6,82,124,194,Avonet
Aviceda_madagascariensis,Aviceda,Accipitridae,Accipitriformes,Neoaves,Extant,1,28.6,20.1,11.6,16.2,38.7,314.2,106,169.2,277,Avonet
Aviceda_subcristata,Aviceda,Accipitridae,Accipitriformes,Neoaves,Extant,1,28.3,19.7,11.6,14.7,36.3,336.6,134.5,202,322.7,Avonet
Busarellus_nigricollis,Busarellus,Accipitridae,Accipitriformes,Neoaves,Extant,1,40.8,27.1,12.5,17.6,76.1,393.5,105.9,199.8,766.1,Avonet
Butastur_indicus,Butastur,Accipitridae,Accipitriformes,Neoaves,Extant,1,40.5,18.4,10.4,14.5,53.4,327.6,155.1,191.8,414.6,Avonet
Butastur_liventer,Butastur,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.3,17,10.5,14,61.7,275,115.6,149,338,Avonet
Butastur_rufipennis,Butastur,Accipitridae,Accipitriformes,Neoaves,Extant,1,28.7,16.3,10.3,12.3,58.4,311.2,143.5,181.4,334.9,Avonet
Butastur_teesa,Butastur,Accipitridae,Accipitriformes,Neoaves,Extant,1,30.6,18,10.7,13.8,60.4,295.4,132,191,325,Avonet
Buteo_albigula,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,27.9,17.9,11.4,15.2,57.9,291,109.6,182.2,525,Avonet
Buteo_albonotatus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.1,21.1,12.7,16.9,70.4,398,159.7,217,745.9,Avonet
Buteo_augur,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,42.7,24.4,13.3,18.9,89.3,410.2,129.3,188.5,1099.2,Avonet
Buteo_auguralis,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.3,18.6,11.2,15.6,73.6,356.2,135.9,192.6,663.9,Avonet
Buteo_brachypterus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.6,19.7,11.5,16.4,63.1,315.4,100.1,184.4,511,Avonet
Buteo_brachyurus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.1,17,10.4,14.9,53.8,307.6,90,171,496,Avonet
Buteo_buteo,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.9,22.1,12.6,16.6,75.8,382.9,147.2,214.4,759.1,Avonet
Buteo_galapagoensis,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,40.9,26,13.9,19.3,77,402.6,176.8,235.2,1137.4,Avonet
Buteo_hemilasius,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,40.7,23.1,14.7,18.8,80,467.2,179,251.4,1358.9,Avonet
Buteo_jamaicensis,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.6,22.9,14.4,20.2,80.9,402.8,139.9,212.2,1101.2,Avonet
Buteo_japonicus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,34.5,19.4,11.7,15.8,77,395,163,212,759.1,Avonet
Buteo_lagopus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,34.5,20.2,11.7,15.9,72.3,428.3,180.3,240,949.8,Avonet
Buteo_lineatus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.1,20.3,11.8,16.3,74.1,319,106.9,172.8,603.7,Avonet
Buteo_nitidus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,30.3,18.5,11.2,15.3,64.6,247.3,71.9,170.6,519,Avonet
Buteo_oreophilus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.1,19.6,11.4,15.3,70.9,346,124.7,182.5,700,Avonet
Buteo_plagiatus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,34.1,20.9,11.4,17.2,78.7,267.9,81.6,162,519,Avonet
Buteo_platypterus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,28.3,17.8,11.1,14.4,53.4,277.7,103.7,178.8,453.7,Avonet
Buteo_refectus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.4,20.4,11.8,16.1,64.9,346,125.7,173.3,759.1,Avonet
Buteo_regalis,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,41.3,23.8,18.3,20.2,81.6,431,179.2,240.6,1437.2,Avonet
Buteo_ridgwayi,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,26.5,14.9,9.8,14.2,65.8,222.5,73.9,144.2,315,Avonet
Buteo_rufinus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,41.6,23.5,14,19.8,86.1,447.5,180.8,244.5,1166.2,Avonet
Buteo_rufofuscus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,39.8,23.2,13.4,17.9,84.9,413.2,140.6,190.4,1530,Avonet
Buteo_socotraensis,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.8,20.8,14.1,18,84,323,115.8,176.7,759.1,Avonet
Buteo_solitarius,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.8,20.4,13.2,15.9,72.7,270.2,92.3,160.5,500.9,Avonet
Buteo_swainsoni,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.3,21,13.6,16.6,60.7,383.7,175.2,193.6,946.6,Avonet
Buteo_trizonatus,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,34,18,11.4,15.1,67.6,345.8,131.5,184,568,Avonet
Buteo_ventralis,Buteo,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.2,23.2,13,19,76.8,359,118.4,221.5,1190.5,Avonet
Buteogallus_aequinoctialis,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,36.1,23.3,11.2,16,73.3,316.2,78.8,147.2,657.6,Avonet
Buteogallus_anthracinus,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,39.6,25.1,12.9,17.5,78.6,355.2,106,206.2,975.1,Avonet
Buteogallus_coronatus,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,60.9,39.9,15.8,29.7,119.4,533,177.5,262.2,2950,Avonet
Buteogallus_gundlachii,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,39.6,24.4,12.3,17.3,85.2,348.1,112.6,190,975.1,Avonet
Buteogallus_lacernulatus,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,34.8,21.5,11.7,15.5,77.2,293.8,87,157,312,Avonet
Buteogallus_meridionalis,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,36,24.2,11.6,18.1,93.4,416.4,130.9,217.4,808,Avonet
Buteogallus_schistaceus,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.5,22.6,12.6,18.1,75.7,272,70,173.2,1000,Avonet
Buteogallus_solitarius,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,58.6,36.8,18.7,28,120.4,526.2,150.6,245.3,3000,Avonet
Buteogallus_urubitinga,Buteogallus,Accipitridae,Accipitriformes,Neoaves,Extant,1,46,29.2,14.6,21.9,118.4,399.7,87.3,255.6,1152.9,Avonet
Chelictinia_riocourii,Chelictinia,Accipitridae,Accipitriformes,Neoaves,Extant,1,17.7,11.6,8.6,9.1,28.2,240.2,136.2,192,110,Avonet
Chondrohierax_uncinatus,Chondrohierax,Accipitridae,Accipitriformes,Neoaves,Extant,1,36.2,27,12.4,18.4,33.6,285.3,59.8,197.6,286.1,Avonet
Chondrohierax_wilsonii,Chondrohierax,Accipitridae,Accipitriformes,Neoaves,Extant,1,38.4,30.4,11.8,20.6,23,244,63.5,185,286.1,Avonet
Circaetus_beaudouini,Circaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,45.6,33.5,15.1,22.7,79.3,501.8,216.8,259.6,1500,Avonet
Circaetus_cinerascens,Circaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,42.2,29,13.5,21.7,68.1,379.5,115.2,220.5,1126,Avonet
Circaetus_cinereus,Circaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,54.7,40.6,15.8,28.6,94.3,517.8,222,254,2048,Avonet
Circaetus_fasciolatus,Circaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,39.8,27.7,13.9,23,71.7,362.2,101.5,227,1013.6,Avonet
Circaetus_gallicus,Circaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,47,35,15.5,24.6,90.9,537,216.8,280.4,1699.1,Avonet
Circaetus_pectoralis,Circaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,46.7,33.8,14.6,23.1,83.8,527.8,229,259.4,1500,Avonet
Circus_aeruginosus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.3,20.2,11.9,16.2,79.3,405.7,185.3,233.9,704.1,Avonet
Circus_approximans,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,39.5,21.9,11.9,16.4,89.3,406.9,181.9,233.2,746.2,Avonet
Circus_assimilis,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,36.1,20.2,11.2,16.2,95.2,421.6,191.6,271.1,558.6,Avonet
Circus_buffoni,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,41.4,20.9,12.7,16.6,85.3,436,210,265,507.4,Avonet
Circus_cinereus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,29.8,15.7,9.3,12.9,67.5,344.5,154.5,240.4,399.7,Avonet
Circus_cyaneus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,30.1,16,9.7,13,72.1,352.4,158.9,131.7,393,Avonet
Circus_hudsonius,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.1,17.2,10.1,13.2,82,360.9,161.1,212.9,393,Avonet
Circus_macrosceles,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.4,20.8,11.6,16.1,92.2,420.9,201.7,242.7,663.6,Avonet
Circus_macrourus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,29.5,15,9.7,12.7,68,351.2,185,226.6,384.4,Avonet
Circus_maillardi,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.4,19.9,11.1,16.6,83.5,353.2,144,229,663.6,Avonet
Circus_maurus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,31.7,17,10.6,13.5,71.9,352.4,151.2,249.2,509,Avonet
Circus_melanoleucos,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,29.9,15.5,9.4,13.1,72.5,352.6,179.8,214,336.3,Avonet
Circus_pygargus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,26.1,13.5,8.6,11.2,62,362.3,188,224.8,310.8,Avonet
Circus_ranivorus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.4,18.9,11.1,14.1,84.5,363.2,163.2,226.8,507,Avonet
Circus_spilonotus,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,38.3,20,12.1,15.9,86.3,407.2,194.2,241.2,558.8,Avonet
Circus_spilothorax,Circus,Accipitridae,Accipitriformes,Neoaves,Extant,1,35.3,20.9,11.9,14.4,89.1,377.4,133,215.6,558.8,Avonet
Clanga_clanga,Clanga,Accipitridae,Accipitriformes,Neoaves,Extant,1,50.2,31.2,15.6,23.2,96.8,510.6,192.2,261.4,2154.3,Avonet
Clanga_hastata,Clanga,Accipitridae,Accipitriformes,Neoaves,Extant,1,44.4,26.4,14,18.9,90.2,456.5,191.8,208.5,1359.4,Avonet
Clanga_pomarina,Clanga,Accipitridae,Accipitriformes,Neoaves,Extant,1,47.3,26.9,13.4,19.5,91.6,459.3,184.8,213,1359.4,Avonet
Cryptoleucopteryx_plumbea,Cryptoleucopteryx,Accipitridae,Accipitriformes,Neoaves,Extant,1,32.1,21,11.2,16.7,58.9,238,74.2,145.4,482,Avonet
Dryotriorchis_spectabilis,Dryotriorchis,Accipitridae,Accipitriformes,Neoaves,Extant,1,36.5,27.6,13,21.3,65.8,290.5,77,240.2,697,Avonet
Elanoides_forficatus,Elanoides,Accipitridae,Accipitriformes,Neoaves,Extant,1,29.4,19,10.2,12.3,33.5,412.8,189.1,279.2,416.2,Avonet
Elanus_axillaris,Elanus,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.3,15.5,9,11.4,38.8,288.4,153,136.8,270.1,Avonet
Elanus_caeruleus,Elanus,Accipitridae,Accipitriformes,Neoaves,Extant,1,30.9,16,9.2,11.3,32.1,286.3,132.1,127.7,259.8,Avonet
Elanus_leucurus,Elanus,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.3,15.3,8.8,10.9,31.8,294,120.3,170.3,346,Avonet
Elanus_scriptus,Elanus,Accipitridae,Accipitriformes,Neoaves,Extant,1,26.2,16.2,11.8,12,38.3,302.2,148.8,139.8,316,Avonet
Erythrotriorchis_buergersi,Erythrotriorchis,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.7,20.3,12.8,18.2,75.2,310.7,105.5,238.7,575,Avonet
Erythrotriorchis_radiatus,Erythrotriorchis,Accipitridae,Accipitriformes,Neoaves,Extant,1,34.8,20.7,11.9,17.4,74.5,387.2,161.8,250,887.4,Avonet
Eutriorchis_astur,Eutriorchis,Accipitridae,Accipitriformes,Neoaves,Extant,1,40.3,24.8,11.6,19.5,84,318.5,74.2,287.5,700,Avonet
Gampsonyx_swainsonii,Gampsonyx,Accipitridae,Accipitriformes,Neoaves,Extant,1,16.2,10.4,7.1,8.4,26,147.7,55.9,97.9,92.9,Avonet
Geranoaetus_albicaudatus,Geranoaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,37.4,22.3,13.8,16.4,87.3,427,148.1,199,885,Avonet
Geranoaetus_melanoleucus,Geranoaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,50.5,31,15.4,23,98.2,496.2,182.8,210.5,2378.6,Avonet
Geranoaetus_polyosoma,Geranoaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,36.3,21.1,13,18.3,83.4,402,153.3,192.8,782.6,Avonet
Geranospiza_caerulescens,Geranospiza,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.9,16.5,9.6,12.9,71.7,269.1,65.1,211.4,302.5,Avonet
Gypaetus_barbatus,Gypaetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,78.2,46.6,20.8,28.1,103.6,760.6,370.2,468,5695,Avonet
Gypohierax_angolensis,Gypohierax,Accipitridae,Accipitriformes,Neoaves,Extant,1,57.5,41,14.1,23.3,77.3,419,127.3,196.8,1600,Avonet
Gyps_africanus,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,61.3,44,20.5,30.5,95.7,578.4,225,224.6,5433,Avonet
Gyps_bengalensis,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,64.6,47.4,22.7,32.5,99.1,551.6,214,213.8,4385,Avonet
Gyps_coprotheres,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,81.2,53.6,24.9,36.5,104.2,687.2,252.2,269.4,8177,Avonet
Gyps_fulvus,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,78.8,50.5,23.8,33.8,109.9,687.2,267.5,291.2,7436,Avonet
Gyps_himalayensis,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,82.5,55.2,23.5,34,115.6,759.8,269.5,339,9798,Avonet
Gyps_indicus,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,71.3,44.6,20.5,29.7,99.7,585.6,223,235.2,5515,Avonet
Gyps_rueppelli,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,77.9,51.5,23,32.5,105.7,627.8,236,235.8,7400,Avonet
Gyps_tenuirostris,Gyps,Accipitridae,Accipitriformes,Neoaves,Extant,1,75.6,49,20,29.1,104.1,592.2,220.5,217.2,5515,Avonet
Haliaeetus_albicilla,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,74.1,46.1,22.9,33.9,95,599.5,227.2,294.2,4729.3,Avonet
Haliaeetus_leucocephalus,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,76,48.2,24,34.1,81.7,601.8,248.8,294,4700.6,Avonet
Haliaeetus_leucogaster,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,71.3,39.2,18.5,24.9,86,556.7,231.8,253.3,2827,Avonet
Haliaeetus_leucoryphus,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,63.6,39.1,19.3,28.3,95.3,566.6,241,290.3,2885.9,Avonet
Haliaeetus_pelagicus,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,90.6,60.3,28.9,47,96.3,598.5,186.2,333.6,7757,Avonet
Haliaeetus_sanfordi,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,59.5,38.9,18.6,26.9,83,523.2,186.8,265,1980,Avonet
Haliaeetus_vocifer,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,58.4,42.2,16.8,25.1,88.2,548.2,184.2,228,3400,Avonet
Haliaeetus_vociferoides,Haliaeetus,Accipitridae,Accipitriformes,Neoaves,Extant,1,57,34.4,16.6,25.1,93.3,487.2,156.2,236.8,3000,Avonet
Haliastur_indus,Haliastur,Accipitridae,Accipitriformes,Neoaves,Extant,1,48.8,24.4,12.9,17,48.2,399.8,147,203.8,529,Avonet
Haliastur_sphenurus,Haliastur,Accipitridae,Accipitriformes,Neoaves,Extant,1,40,23.1,13.1,18.2,58.8,407.4,186.2,264,753,Avonet
