species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Anas_castanea,76.37,NA,NA,66.34,NA,NA,47.23,NA,NA,44.09,NA,NA,73.45,NA,NA,40.23,NA,NA,NA,NA,NA,NA,Worthy_1988
Anas_chlorotis,69.8,NA,NA,56.7,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mitchell_2014a
Anas_gracilis,66.55,NA,NA,NA,NA,NA,NA,NA,NA,38.25,NA,NA,65.08,NA,NA,36.91,NA,NA,NA,NA,NA,NA,Field_2013
Anas_nesiotis,44.7,NA,NA,30.6,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mitchell_2014a
Anas_platyrhynchos,92.4,NA,NA,NA,NA,NA,NA,NA,NA,50.64,NA,NA,81.81,NA,NA,44.89,NA,NA,NA,NA,NA,NA,Field_2013
Anas_poecilorhyncha,100.5,NA,NA,NA,NA,NA,NA,NA,NA,54.91,NA,NA,96.56,NA,NA,46.81,NA,NA,NA,NA,NA,NA,Field_2013
Anas_rubripes,92.45,NA,NA,NA,NA,NA,NA,NA,NA,50.97,NA,NA,81.53,NA,NA,45.16,NA,NA,NA,NA,NA,NA,Field_2013
Anous_stolidus,64.28,NA,NA,NA,NA,NA,NA,NA,NA,27.72,NA,NA,45.73,NA,NA,25.79,NA,NA,NA,NA,NA,NA,Field_2013
Anser_anser,169.37,NA,NA,152.77,NA,NA,96.44,NA,NA,80.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northcote_1988
Anthracothorax_dominicus,6.02,NA,NA,NA,NA,NA,NA,NA,NA,9.02,NA,NA,12.87,NA,NA,6.21,NA,NA,NA,NA,NA,NA,Field_2013
Antigone_canadensis,231.67,NA,NA,NA,NA,NA,NA,NA,NA,126.35,NA,NA,293.83,NA,NA,247,NA,NA,NA,NA,NA,NA,Field_2013
Antrostomus_vociferus,30.42,NA,NA,NA,NA,NA,NA,NA,NA,20.32,NA,NA,30.95,NA,NA,16.85,NA,NA,NA,NA,NA,NA,Field_2013
Aplonis_atrifusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,5.5,4.3,NA,NA,NA,NA,Steadman_1989a
Aplonis_cantoroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,3.4,2.6,NA,NA,NA,NA,Steadman_1989a
Aplonis_cinerascens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,4.8,3.5,NA,NA,NA,NA,Steadman_1989a
Aplonis_metallica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3.5,2.8,NA,NA,NA,NA,Steadman_1989a
Aplonis_minor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,3.4,2.3,NA,NA,NA,NA,Steadman_1989a
Aplonis_mysolensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,3.6,2.8,NA,NA,NA,NA,Steadman_1989a
Aplonis_opaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.45,4.5,3.45,NA,NA,NA,NA,Steadman_1989a
Aplonis_panayensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,3.5,2.7,NA,NA,NA,NA,Steadman_1989a
Aplonis_pelzelni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,3.9,2.9,NA,NA,NA,NA,Steadman_1989a
Aplonis_striata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,4,2.9,NA,NA,NA,NA,Steadman_1989a
Aplonis_tabuensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.85,4.45,3.15,NA,NA,NA,NA,Steadman_1989a
Apus_affinis,10.05,NA,NA,NA,NA,NA,NA,NA,NA,14.98,NA,NA,21.5,NA,NA,8.1,NA,NA,NA,NA,NA,NA,Field_2013
Aquila_chrysaetos,209,NA,NA,NA,NA,NA,NA,NA,NA,127.07,NA,NA,179,NA,NA,104.3,NA,NA,NA,NA,NA,NA,Field_2013
Aquila_chrysaetos,188.83,38.08,33.34,218.25,21.66,16.75,104.66,26.16,16.57,127.37,27.87,28.53,NA,NA,NA,105.06,22.75,24.83,NA,NA,NA,NA,Louchard_2005
Aquila_nipalensis,178.7,34.2,29.2,203.75,20.73,13.5,94.4,22.37,14.2,101.75,25.7,25.7,NA,NA,NA,98.2,19.4,21.2,NA,NA,NA,NA,Louchard_2005
Aquila_rapax,150.5,28.4,24.6,NA,NA,NA,82.3,19.15,12.6,NA,NA,NA,NA,NA,NA,81,15.5,17.9,NA,NA,NA,NA,Louchard_2005
Archilochus_colubris,3.81,NA,NA,NA,NA,NA,NA,NA,NA,7.48,NA,NA,11.44,NA,NA,5.33,NA,NA,NA,NA,NA,NA,Field_2013
Ardea_cocoi,188,NA,NA,NA,NA,NA,NA,NA,NA,102.78,NA,NA,259,NA,NA,192,NA,NA,NA,NA,NA,NA,Field_2013
Ardea_herodias,198.27,NA,NA,NA,NA,NA,NA,NA,NA,100.04,NA,NA,245.3,NA,NA,182.13,NA,NA,NA,NA,NA,NA,Field_2013
Ardenna_bulleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,8.8,NA,NA,NA,6.5,51.5,NA,NA,NA,NA,NA,NA,Olson_1975a
Ardenna_pacifica,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,7.9,NA,NA,NA,6.2,48.2,NA,NA,NA,NA,NA,NA,Olson_1975a
Ardeotis_kori,220,NA,NA,NA,NA,NA,NA,NA,NA,109.22,NA,NA,243,NA,NA,191,NA,NA,NA,NA,NA,NA,Field_2013
Asio_capensis,90.49,NA,NA,NA,NA,NA,NA,NA,NA,55.25,NA,NA,89.99,NA,NA,55.84,NA,NA,NA,NA,NA,NA,Field_2013
Asio_flammeus,88.89,NA,NA,NA,NA,NA,NA,NA,NA,56.48,NA,NA,81.37,NA,NA,43.77,NA,NA,NA,NA,NA,NA,Field_2013
Athene_cunicularia,55.45,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,65.8,NA,NA,47.68,NA,NA,NA,NA,NA,NA,Field_2013
Athene_noctua,50.15,NA,NA,NA,NA,NA,NA,NA,NA,39.16,NA,NA,57.39,NA,NA,34.96,NA,NA,NA,NA,NA,NA,Field_2013
Athene_noctua,50.1,NA,NA,58.9,NA,NA,28.9,NA,NA,39,NA,NA,58,NA,NA,35.8,NA,NA,NA,NA,NA,NA,Weesie_1982
Attagis_gayi,52.71,NA,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,56.31,NA,NA,25.58,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_affinis,77.43,NA,NA,NA,NA,NA,NA,NA,NA,42.84,NA,NA,69.06,NA,NA,34.64,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_americana,80.52,NA,NA,NA,NA,NA,NA,NA,NA,42.41,NA,NA,68.04,NA,NA,36.3,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_americana,91.02,NA,NA,NA,NA,NA,NA,NA,NA,46.9,NA,NA,78.84,NA,NA,41.38,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_collaris,77.18,NA,NA,NA,NA,NA,NA,NA,NA,40.01,NA,NA,64.6,NA,NA,32.77,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_marila,85.76,NA,NA,NA,NA,NA,NA,NA,NA,46.82,NA,NA,75.58,NA,NA,37.84,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_novaeseelandiae,71.87,NA,NA,NA,NA,NA,NA,NA,NA,43.61,NA,NA,68.1,NA,NA,35.77,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_nyroca,71.83,NA,NA,NA,NA,NA,NA,NA,NA,38.09,NA,NA,62.9,NA,NA,31.81,NA,NA,NA,NA,NA,NA,Field_2013
Aythya_valisineria,97.51,NA,NA,NA,NA,NA,NA,NA,NA,51.28,NA,NA,84.45,NA,NA,44.56,NA,NA,NA,NA,NA,NA,Field_2013
Bonasa_umbellus,51.64,NA,NA,NA,NA,NA,NA,NA,NA,58.94,NA,NA,77.13,NA,NA,41.41,NA,NA,NA,NA,NA,NA,Field_2013
Branta_bernicla,119.18,NA,NA,NA,NA,NA,NA,NA,NA,57.98,NA,NA,102,NA,NA,60.27,NA,NA,NA,NA,NA,NA,Field_2013
Branta_canadensis,206,NA,NA,NA,NA,NA,NA,NA,NA,84.79,NA,NA,158.97,NA,NA,90.43,NA,NA,NA,NA,NA,NA,Field_2013
Branta_hutchinsii,111.85,NA,NA,NA,NA,NA,NA,NA,NA,55.67,NA,NA,101.89,NA,NA,65.56,NA,NA,NA,NA,NA,NA,Field_2013
Branta_leucopsis,134.69,NA,NA,NA,NA,NA,NA,NA,NA,69.19,NA,NA,123.05,NA,NA,78.81,NA,NA,NA,NA,NA,NA,Field_2013
Bubo_africanus,108.61,NA,17.7,127.43,NA,9,NA,NA,NA,NA,NA,13.09,111.79,NA,11.98,67.81,11.84,13.6,NA,NA,NA,NA,MourerChauvire_1986
Bubo_africanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.35,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,Arredondo_1994
Bubo_bubo,162.39,NA,27.61,187.65,17.76,13.69,NA,NA,NA,NA,NA,20.59,145.12,NA,19.15,77.6,19.88,21.22,NA,NA,NA,NA,MourerChauvire_1986
Bubo_bubo,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,20.95,NA,NA,NA,NA,Arredondo_1994
Bubo_bubo,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,23.7,22.5,146.4,17,19,80,21,21.3,NA,NA,NA,NA,Arredondo_1982
Bubo_lacteus,105.65,NA,NA,NA,NA,NA,NA,NA,NA,91.1,NA,NA,NA,NA,NA,46.4,23.1,NA,NA,NA,NA,NA,Arredondo_1994
Bubo_philippensis,85,NA,NA,NA,NA,NA,NA,NA,NA,77.2,NA,NA,NA,NA,NA,43,20.8,NA,NA,NA,NA,NA,Arredondo_1994
Bubo_scandiacus,140.88,NA,NA,NA,NA,NA,NA,NA,NA,82.71,NA,NA,107.75,NA,NA,51.62,NA,NA,NA,NA,NA,NA,Field_2013
Bubo_sumatranus,75.3,NA,NA,NA,NA,NA,NA,NA,NA,60.6,NA,NA,NA,NA,NA,28.2,17.5,NA,NA,NA,NA,NA,Arredondo_1994
Bubo_virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6,NA,NA,NA,NA,NA,NA,NA,17.65,NA,NA,NA,NA,Arredondo_1994
Bubo_virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arredondo_1972
Bubo_virginianus,130.86,NA,NA,NA,NA,NA,NA,NA,NA,82.88,NA,NA,122.25,NA,NA,63.23,NA,NA,NA,NA,NA,NA,Field_2013
Bucephala_albeola,61.9,NA,NA,NA,NA,NA,NA,NA,NA,39.99,NA,NA,59.77,NA,NA,33.91,NA,NA,NA,NA,NA,NA,Field_2013
Bucephala_clangula,82.27,NA,NA,NA,NA,NA,NA,NA,NA,50.29,NA,NA,72.07,NA,NA,38.49,NA,NA,NA,NA,NA,NA,Field_2013
Buceros_bicornis,120.79,NA,NA,NA,NA,NA,NA,NA,NA,88.3,NA,NA,125.22,NA,NA,66.25,NA,NA,NA,NA,NA,NA,Field_2013
Buteo_jamaicensis,105.74,NA,NA,NA,NA,NA,NA,NA,NA,82.21,NA,NA,107.82,NA,NA,80.85,NA,NA,NA,NA,NA,NA,Field_2013
Buteo_lineatus,89.74,NA,NA,NA,NA,NA,NA,NA,NA,70.62,NA,NA,94.74,NA,NA,77.21,NA,NA,NA,NA,NA,NA,Field_2013
Buteo_platypterus,74.58,NA,NA,NA,NA,NA,NA,NA,NA,56.23,NA,NA,79.17,NA,NA,59.54,NA,NA,NA,NA,NA,NA,Field_2013
Buteo_regalis,131.59,NA,NA,NA,NA,NA,NA,NA,NA,96.89,NA,NA,123.49,NA,NA,91.11,NA,NA,NA,NA,NA,NA,Field_2013
Buteo_swainsoni,104.82,NA,NA,NA,NA,NA,NA,NA,NA,72.66,NA,NA,97.41,NA,NA,67.04,NA,NA,NA,NA,NA,NA,Field_2013
Buteogallus_meridionalis,106.58,NA,NA,NA,NA,NA,NA,NA,NA,72.02,NA,NA,111.03,NA,NA,96.27,NA,NA,NA,NA,NA,NA,Field_2013
Buteogallus_urubitinga,123.4,NA,21.1,134.8,NA,NA,NA,NA,NA,86.8,NA,18.7,NA,NA,7.6,117.4,15.3,16.8,NA,NA,NA,NA,Suarez_2007
Butorides_striata,69.11,NA,NA,NA,NA,NA,NA,NA,NA,49.57,NA,NA,80.23,NA,NA,51.9,NA,NA,NA,NA,NA,NA,Field_2013
Cacatua_galerita,81.51,NA,NA,NA,NA,NA,NA,NA,NA,57.25,NA,NA,78.28,NA,NA,26.69,NA,NA,NA,NA,NA,NA,Field_2013
Cacatua_sanguinea,68.23,NA,NA,NA,NA,NA,NA,NA,NA,47.09,NA,NA,67.46,NA,NA,22.65,NA,NA,NA,NA,NA,NA,Field_2013
Callipepla_californica,98.18,NA,NA,NA,NA,NA,NA,NA,NA,42.57,NA,NA,81.42,NA,NA,53.11,NA,NA,NA,NA,NA,NA,Field_2013
Callipepla_gambelii,33.42,NA,NA,NA,NA,NA,NA,NA,NA,39.4,NA,NA,54.84,NA,NA,31.76,NA,NA,NA,NA,NA,NA,Field_2013
Caloenas_nicobarica,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balouet_1989
Calypte_anna,4.83,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,10.65,NA,NA,5.16,NA,NA,NA,NA,NA,NA,Field_2013
Calypte_costae,3.99,NA,NA,NA,NA,NA,NA,NA,NA,7.95,NA,NA,10.97,NA,NA,7.87,NA,NA,NA,NA,NA,NA,Field_2013
Campylopterus_curvipennis,6.1,NA,NA,NA,NA,NA,NA,NA,NA,10.61,NA,NA,14.26,NA,NA,6.6,NA,NA,NA,NA,NA,NA,Field_2013
Caprimulgus_clarus,31.79,NA,NA,NA,NA,NA,NA,NA,NA,21.12,NA,NA,32.14,NA,NA,21.34,NA,NA,NA,NA,NA,NA,Field_2013
Caprimulgus_macrurus,38.66,NA,NA,NA,NA,NA,NA,NA,NA,23.65,NA,NA,32.61,NA,NA,16.34,NA,NA,NA,NA,NA,NA,Field_2013
Caracara_cheriway,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,14.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suarez_2003c
Caracara_cheriway,NA,NA,NA,114.1,9.5,10.2,61.9,6.6,NA,NA,NA,NA,111.7,14.7,14.7,91.6,13,15,NA,NA,NA,NA,Suarez_2001b
Caracara_cheriway,109.4,20,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,13,15,NA,NA,NA,NA,Olson_2008b
Caracara_cheriway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,NA,Jones_2015
Caracara_plancus,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,15.4,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suarez_2003c
Caracara_plancus,NA,NA,NA,138.8,10.8,11.5,66.5,7.3,NA,NA,NA,NA,117.7,16.6,14.3,98,15.6,16.9,NA,NA,NA,NA,Suarez_2001b
Caracara_plancus,122,25.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,15.6,16.9,NA,NA,NA,NA,Olson_2008b
Caracara_plancus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,14.2,NA,NA,NA,NA,NA,NA,NA,Jones_2015
Cardellina_canadensis,13.45,NA,NA,NA,NA,NA,NA,NA,NA,13.99,NA,NA,25.05,NA,NA,19.07,NA,NA,NA,NA,NA,NA,Field_2013
Cardellina_pusilla,11.52,NA,NA,NA,NA,NA,NA,NA,NA,12.37,NA,NA,23.91,NA,NA,18.4,NA,NA,NA,NA,NA,NA,Field_2013
Catharacta_skua,121.36,NA,NA,NA,NA,NA,NA,NA,NA,58.85,NA,NA,89.58,NA,NA,60.38,NA,NA,NA,NA,NA,NA,Field_2013
Centrocercus_urophasianus,85.45,NA,NA,NA,NA,NA,NA,NA,NA,77.49,NA,NA,92.84,NA,NA,47.8,NA,NA,NA,NA,NA,NA,Field_2013
Cerorhinca_monocerata,66.29,NA,NA,NA,NA,NA,NA,NA,NA,39.07,NA,NA,61.97,NA,NA,28.47,NA,NA,NA,NA,NA,NA,Field_2013
Chaetura_pelagica,9.39,NA,NA,NA,NA,NA,NA,NA,NA,16.22,NA,NA,23.9,NA,NA,11.96,NA,NA,NA,NA,NA,NA,Field_2013
Chalcophaps_indica,32.19,NA,NA,NA,NA,NA,NA,NA,NA,29.12,NA,NA,43.45,NA,NA,24.71,NA,NA,NA,NA,NA,NA,Field_2013
Chalcophaps_stephani,30.87,NA,NA,NA,NA,NA,NA,NA,NA,28.87,NA,NA,42.49,NA,NA,24,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_alexandrinus,28.41,NA,NA,NA,NA,NA,NA,NA,NA,19.61,NA,NA,37.95,NA,NA,24.86,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_dubius,28.05,NA,NA,NA,NA,NA,NA,NA,NA,18.86,NA,NA,36.04,NA,NA,23.89,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_hiaticula,31.33,NA,NA,NA,NA,NA,NA,NA,NA,21.52,NA,NA,40.8,NA,NA,25.38,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_melodus,31.7,NA,NA,NA,NA,NA,NA,NA,NA,20.44,NA,NA,37.79,NA,NA,22.54,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_modestus,34.94,NA,NA,NA,NA,NA,NA,NA,NA,26.21,NA,NA,48.49,NA,NA,31.73,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_montanus,40.06,NA,NA,NA,NA,NA,NA,NA,NA,28.15,NA,NA,53.23,NA,NA,39.91,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_semipalmatus,29.87,NA,NA,NA,NA,NA,NA,NA,NA,20.23,NA,NA,39.83,NA,NA,24.09,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_vociferus,40.21,NA,NA,NA,NA,NA,NA,NA,NA,26.64,NA,NA,52.7,NA,NA,36.92,NA,NA,NA,NA,NA,NA,Field_2013
Charadrius_wilsonia,32.72,NA,NA,NA,NA,NA,NA,NA,NA,22.45,NA,NA,41.75,NA,NA,29.83,NA,NA,NA,NA,NA,NA,Field_2013
Chloephaga_hybrida,134.2,NA,NA,NA,NA,NA,NA,NA,NA,81.27,NA,NA,119.48,NA,NA,71.43,NA,NA,NA,NA,NA,NA,Field_2013
Chloris_chloris,NA,NA,4.7,22.22,3.43,3,13.63,3.66,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcover_1987
Chlorostilbon_swainsonii,5.03,NA,NA,NA,NA,NA,NA,NA,NA,8.08,NA,NA,13.32,NA,NA,5.62,NA,NA,NA,NA,NA,NA,Field_2013
Chordeiles_minor,41.38,NA,NA,NA,NA,NA,NA,NA,NA,22.83,NA,NA,30.37,NA,NA,14.14,NA,NA,NA,NA,NA,NA,Field_2013
Chordeiles_nacunda,61.08,NA,NA,NA,NA,NA,NA,NA,NA,32.41,NA,NA,45.86,NA,NA,25.77,NA,NA,NA,NA,NA,NA,Field_2013
Ciconia_ciconia,282,NA,NA,NA,NA,NA,NA,NA,NA,155.14,NA,NA,399,NA,NA,332.66,NA,NA,NA,NA,NA,NA,Field_2013
Circus_aeruginosus,102.99,NA,NA,NA,NA,NA,NA,NA,NA,70.21,NA,NA,105.98,NA,NA,88.98,NA,NA,NA,NA,NA,NA,Field_2013
Clangula_hyemalis,72.11,NA,NA,NA,NA,NA,NA,NA,NA,41.3,NA,NA,67.02,NA,NA,34.54,NA,NA,NA,NA,NA,NA,Field_2013
