species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Acanthisitta_chloris,9.41,2.88,2.41,12.93,1.58,1.52,7.41,1.95,1.27,9.12,1.93,2,22.63,2.7,1.69,19.91,1.82,1.48,NA,NA,NA,NA,Millener_1988
Accipiter_cirrocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,7.65,7.95,NA,NA,6.45,NA,NA,NA,NA,NA,NA,NA,Balouet_1989
Accipiter_cooperii,71.42,NA,NA,NA,NA,NA,NA,NA,NA,62.81,NA,NA,84.99,NA,NA,66.42,NA,NA,NA,NA,NA,NA,Field_2013
Accipiter_fasciatus,NA,NA,NA,85.5,NA,NA,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,Balouet_1989
Accipiter_gentilis,NA,NA,NA,110.2,NA,NA,59.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75,NA,NA,NA,NA,Balouet_1989
Accipiter_gentilis,94.22,NA,NA,NA,NA,NA,NA,NA,NA,77.82,NA,NA,100.16,NA,NA,74.55,NA,NA,NA,NA,NA,NA,Field_2013
Accipiter_haplochrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.15,9.1,9.8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,Balouet_1989
Accipiter_novaehollandiae,62.86,NA,NA,NA,NA,NA,NA,NA,NA,51.43,NA,NA,69.43,NA,NA,61.69,NA,NA,NA,NA,NA,NA,Field_2013
Accipiter_poliocephalus,63,NA,NA,NA,NA,NA,NA,NA,NA,53.22,NA,NA,80.54,NA,NA,64.32,NA,NA,NA,NA,NA,NA,Field_2013
Accipiter_striatus,48.29,NA,NA,NA,NA,NA,NA,NA,NA,43.94,NA,NA,57.91,NA,NA,52.07,NA,NA,NA,NA,NA,NA,Field_2013
Actophilornis_africanus,43.43,NA,NA,NA,NA,NA,NA,NA,NA,33.16,NA,NA,85.99,NA,NA,60.82,NA,NA,NA,NA,NA,NA,Field_2013
Aechmophorus_occidentalis,115.14,NA,NA,NA,NA,NA,NA,NA,NA,44.46,NA,NA,116.49,NA,NA,73.64,NA,NA,NA,NA,NA,NA,Field_2013
Aegolius_acadicus,43.1,8.3,7.7,49.8,NA,NA,22,NA,NA,33.8,6,5.9,NA,NA,5.8,23.9,5.5,6.1,NA,NA,NA,NA,Olson_2012b
Aegotheles_albertisi,26.94,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,33.28,NA,NA,20.24,NA,NA,NA,NA,NA,NA,Field_2013
Aegotheles_insignis,37.8,NA,NA,NA,NA,NA,NA,NA,NA,24.31,NA,NA,42.56,NA,NA,21.78,NA,NA,NA,NA,NA,NA,Field_2013
Aerodramus_sawtelli,NA,NA,NA,NA,NA,NA,11.87,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_2002a
Aerodramus_spodiopygius,NA,NA,NA,NA,NA,NA,12.28,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_2002a
Aerodramus_vanikorensis,NA,NA,NA,NA,NA,NA,12.47,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_2002a
Agelaius_phoeniceus,27.7,NA,NA,NA,NA,NA,NA,NA,NA,25.28,NA,NA,40.24,NA,NA,28.3,NA,NA,NA,NA,NA,NA,Field_2013
Aix_galericulata,68.96,NA,NA,NA,NA,NA,NA,NA,NA,39.84,NA,NA,62.84,NA,NA,37.23,NA,NA,NA,NA,NA,NA,Field_2013
Aix_sponsa,69.35,NA,NA,NA,NA,NA,NA,NA,NA,41.11,NA,NA,62.36,NA,NA,34.34,NA,NA,NA,NA,NA,NA,Field_2013
Alle_alle,40.17,NA,NA,NA,NA,NA,NA,NA,NA,26.17,NA,NA,42.71,NA,NA,19.49,NA,NA,NA,NA,NA,NA,Field_2013
Alopecoenas_beccarii,25.1,8.7,5.95,30.43,3.66,3.54,17.03,4.7,3.45,27.51,NA,NA,43.98,3.92,3.71,54.87,4.4,4.64,NA,NA,NA,NA,Worthy_2003a
Alopecoenas_erythropterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.18,6.27,6.98,NA,NA,NA,NA,Worthy_2003a
Alopecoenas_rubescens,28.2,9.55,6.45,32.14,4.14,3.7,18.96,5.26,4.34,27.4,4.9,5,43.72,4.6,4.36,27.08,5.05,5.43,NA,NA,NA,NA,Worthy_2003a
Alopecoenas_stairi,35.4,12.18,8.2,41.88,5.6,5.02,23.7,7.15,6.1,36.37,7.22,6.78,55.58,6.05,5.55,33.25,6.42,6.83,NA,NA,NA,NA,Worthy_2003a
Alopochen_aegyptiaca,134.1,28.79,20.63,128.92,13.8,12.01,79.06,8.21,9.76,71.04,17.31,17.6,133.3,14.52,14.01,86.43,15.25,16.17,NA,NA,NA,NA,MourerChauvire_1999
Amaurornis_phoenicurus,48.23,NA,NA,NA,NA,NA,NA,NA,NA,50.91,NA,NA,87.34,NA,NA,60.26,NA,NA,NA,NA,NA,NA,Field_2013
Amazona_albifrons,44.05,NA,NA,NA,NA,NA,NA,NA,NA,39.25,NA,NA,52.27,NA,NA,18.28,NA,NA,NA,NA,NA,NA,Field_2013
Amazona_amazonica,54.8,NA,NA,NA,NA,NA,NA,NA,NA,45.24,NA,NA,61.28,NA,NA,20.78,NA,NA,NA,NA,NA,NA,Field_2013
Amazona_farinosa,63.96,NA,NA,NA,NA,NA,NA,NA,NA,51.66,NA,NA,73.54,NA,NA,24.45,NA,NA,NA,NA,NA,NA,Field_2013
Amazona_leucocephala,48.43,NA,NA,NA,NA,NA,NA,NA,NA,40.03,NA,NA,55.81,NA,NA,20.6,NA,NA,NA,NA,NA,NA,Field_2013
Amazona_ochrocephala,57.2,NA,NA,NA,NA,NA,NA,NA,NA,47.19,NA,NA,63.21,NA,NA,22.09,NA,NA,NA,NA,NA,NA,Field_2013
Anas_acuta,86.64,NA,NA,NA,NA,NA,NA,NA,NA,44.06,NA,NA,75.23,NA,NA,44.11,NA,NA,NA,NA,NA,NA,Field_2013
Anas_aucklandica,49.26,NA,NA,36.23,NA,NA,26.12,NA,NA,40.19,NA,NA,67.14,NA,NA,32.29,NA,NA,NA,NA,NA,NA,Worthy_1988
Anas_aucklandica,48.9,NA,NA,36.2,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mitchell_2014a
