species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Rallus_sp_Terceira,32.9,6.8,4.7,25.6,3.4,2.9,17.5,4.5,2.8,34.9,5.9,5.3,53.7,5.7,4.8,35.9,5.2,5.5,NA,NA,NA,NA,Alcover_2015
Rhodacanthis_flaviceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,9.8,NA,NA,James_1991
Rhodacanthis_forfex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.76,NA,NA,NA,James_1991 [ubeak_cl infered using length of jugal articulation in proportion to A.chascax]
Rhodacanthis_litotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,9.83,NA,NA,James_1991
Rhodacanthis_palmeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,12.3,NA,NA,James_1991
Rhynochetos_orarius,70.2,16.7,14.95,73.6,NA,NA,36,NA,NA,74.7,17.3,17.1,146.2,NA,12.5,12.35,113.9,14.95,NA,NA,NA,NA,Balouet_1989
Riccordia_bracei,4.2,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Graves_1987
Sarcoramphus_fisheri,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,Campbell_1979
Scolopax_anthonyi,43.8,10.9,7.6,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,35.3,6.9,NA,NA,NA,NA,NA,Takano_2015
Scolopax_brachycarpa,44.33,10.67,7.83,49.35,5.82,NA,26.42,NA,NA,40.53,NA,7.03,NA,NA,5.52,34.33,6.16,NA,NA,NA,NA,NA,Takano_2015
Scytalopus_sp_Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,28.2,15.6,NA,NA,NA,NA,NA,NA,NA,Olson_1987
Siphonorhis_daiquiri,27.4,NA,5.4,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,Olson_1985
Spizaetus_grinnelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,22.5,NA,NA,NA,NA,Miller_1911b
Spizaetus_willetti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,NA,NA,NA,NA,Howard_1935
Steganopus_graui,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,3.5,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Campbell_1979
Stephanoaetus_mahery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,26.1,27.9,NA,NA,NA,NA,Goodman_2016
Struthio_anderssoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buffetaut_2023
Sylviornis_neocaledoniae,120.2,27.4,20.2,87.8,13.1,11.5,58.9,18.2,NA,193,56.2,53,269,42.1,34.7,157.8,37.3,42.2,NA,NA,NA,NA,Balouet_1989
Tachornis_uranoceles,7.3,NA,NA,9.85,NA,NA,13.05,NA,NA,NA,NA,NA,12.3,NA,NA,7.5,NA,NA,NA,NA,NA,NA,Olson_1982b
Tachycineta_speleodytes,14.99,6.5,4.46,23.95,NA,NA,14.85,NA,NA,13.9,NA,NA,21.45,NA,2.25,12.5,NA,NA,NA,NA,NA,NA,Brodkorb_1957
Talpanas_lippa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,32.9,8.9,9.8,NA,NA,NA,NA,Iwaniuk_2004
Telespiza_persecutrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,6.7,NA,NA,James_1991
Telespiza_sp_aff.ypsilon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,James_1991 [ubeak_cl infered using length of mandibula in proportion to T.ypsilon]
Telespiza_ypsilon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,5.6,NA,NA,James_1991
Teratornis_merriami,NA,NA,62.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,Campbell_2002b
Teratornis_woodburnensis,NA,NA,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,Campbell_2002b
Thambetochen_chauliodous,172,38,25.7,37.3,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,92.4,27.4,30.4,NA,NA,NA,NA,Olson_1976a
Thambetochen_xanion,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.67,25.8,27.7,155.75,NA,21.87,85.17,15.83,24.37,NA,NA,NA,NA,James_1991
Thinocorus_koepckeae,23.6,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Campbell_1979
Threskiornis_solitarius,NA,32.3,NA,NA,14.6,NA,73.95,8.8,8.6,NA,NA,NA,144.5,16,15.78,105.1,17.85,20.72,NA,NA,NA,NA,MourerChauvire_1999
Titanohierax_gloveralleni,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Olson_2008a
Traversia_lyalli,13.02,3.02,2.81,12.64,1.76,1.52,7.38,2.25,1.47,16.09,3.32,3.28,31.44,4.33,2.56,21.35,2.67,2.33,NA,NA,NA,NA,Millener_1988
Tribonyx_hodgenorum,40.4,NA,NA,29.4,NA,NA,20.5,NA,NA,57.9,NA,NA,75.9,NA,NA,42.9,NA,NA,NA,NA,NA,NA,Olson_1975b
Trigonoceps_sp_Flores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,Meijer_2013
Tringa_ameghini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,Campbell_1979
Turnagra_capensis,31,NA,NA,33.4,NA,NA,17.5,NA,NA,32.9,NA,NA,51.8,NA,NA,36.8,NA,NA,NA,NA,NA,NA,Olson_1983
Turnagra_tanagra,33,NA,NA,35.8,NA,NA,19.7,NA,NA,33.2,NA,NA,55.3,NA,NA,40.1,NA,NA,NA,NA,NA,NA,Olson_1983
Turnix_sp_Timor,NA,6.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.4,NA,NA,NA,NA,Meijer_2019
Tympanuchus_ceres,60.1,NA,NA,56.1,NA,NA,33.9,NA,NA,NA,NA,NA,86.35,NA,NA,45.15,NA,NA,NA,NA,NA,NA,Wetmore_1959
Tyto_cavatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,Wetmore_1920
Tyto_cravesae,NA,22.1,20.5,NA,NA,NA,70,7.2,NA,NA,15.8,16.3,NA,15.2,NA,93.7,15.6,17.8,NA,NA,NA,NA,Suarez_2015
Tyto_letocarti,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.6,12,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balouet_1989
Tyto_noeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.65,13.83,14.4,NA,NA,NA,95.85,15.3,17.4,NA,NA,NA,NA,Arredondo_1976
Tyto_noeli,NA,19.6,18.4,NA,NA,NA,66.3,6.4,NA,NA,13.6,14.4,NA,NA,13.6,88.5,13.6,15.7,NA,NA,NA,NA,Suarez_2015
Tyto_ostologa,NA,22.8,21.6,NA,NA,NA,68.3,7.5,NA,NA,16.4,17.3,NA,NA,16.9,94,17.3,19.7,NA,NA,NA,NA,Suarez_2015
Tyto_pollens,NA,24,23.1,NA,NA,NA,74.8,8.4,NA,82,16.3,18.1,NA,16.7,NA,98.7,17.8,20.6,NA,NA,NA,NA,Olson_1982a
Tyto_sp_Flores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,Meijer_2013
Upupa_antaios,33.1,10.3,8.27,39.4,NA,NA,17.5,NA,NA,28.1,5.8,6,40.1,5.6,4.7,NA,5.9,NA,NA,NA,NA,NA,Olson_1975a
Vanellus_madagascariensis,71.45,14,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Goodman_1996
Vangulifer_mirandus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,5.4,NA,NA,James_1991
Vangulifer_neophasis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,7.7,NA,NA,James_1991
Vini_sinotoi,NA,NA,NA,35.1,5.4,NA,NA,NA,NA,NA,NA,NA,32.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_1992a
Vini_vidivici,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.85,5.25,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_1992a
Vitirallus_watlingi,52.2,9.98,7.84,42.98,5.35,4.69,25.02,6.65,NA,66.4,12.29,11.76,100.53,10.46,9.61,61.99,10.05,10.09,NA,NA,NA,NA,Worthy_2004
Wingegyps_cartellei,129.5,NA,24,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alvarenga_2004
Xenicibis_xympithecus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,28.2,15.6,NA,18.6,NA,NA,NA,NA,NA,Olson_1977b
Xenicibis_xympithecus,112.6,23,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Olson_1979
Xenicus_longipes,13.65,4.25,3.26,15.86,2.36,2.1,8.57,2.63,1.43,14.86,2.79,3.19,32.01,4.04,2.42,24.81,2.6,2.17,NA,NA,NA,NA,Millener_1988
Xestospiza_conica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.15,9.8,NA,NA,James_1991
Xestospiza_fastiglialis,17.4,NA,NA,17.5,NA,NA,9.9,NA,NA,17.7,NA,NA,29,NA,NA,21.3,NA,NA,13.77,7.73,NA,NA,James_1991
Zapornia_astrictocarpus,20.2,4.2,3.1,14.8,NA,NA,NA,NA,NA,27,NA,NA,43.3,NA,3.9,NA,NA,NA,NA,NA,NA,NA,Olson_1973
Zapornia_astrictocarpus,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,4.6,NA,NA,NA,27,4,4.2,NA,NA,NA,NA,Steadman_1986
Zapornia_keplerorum,14.96,NA,NA,11.3,NA,NA,6.6,NA,NA,27.64,3.73,3.73,35.2,NA,3.22,20.72,3.25,3.39,NA,NA,NA,NA,James_1991
Zapornia_menehune,13.48,3.6,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,2.85,17.95,2.99,3.13,NA,NA,NA,NA,James_1991
Zapornia_monasa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,35.6,NA,4.8,NA,NA,NA,NA,Steadman_1986
Zapornia_palmeri,19.5,3.8,3,14.6,2.3,NA,10.2,2.6,NA,25.5,4.3,4.1,37.1,4.6,3.4,23.5,3.6,4,NA,7,2,2.1,Hume_2019
Zapornia_palmeri,NA,NA,NA,14.9,NA,NA,10.4,NA,NA,25.7,NA,4.1,38.5,NA,3.5,23.5,NA,3.9,NA,NA,NA,NA,Olson_1973
Zapornia_palmeri,19.9,4.1,2.9,14.8,NA,NA,NA,NA,NA,25.7,4.3,NA,25.1,NA,NA,23.5,3.6,3.7,NA,NA,NA,NA,Steadman_1986
Zapornia_piercei,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,3.3,22.3,3.4,3.6,NA,NA,NA,NA,Olson_2000
Zapornia_ralphorum,26.7,4.9,3.9,NA,NA,NA,NA,NA,NA,NA,6.8,NA,40.9,NA,4.87,35.7,5,4.9,NA,NA,NA,NA,James_1991
Zapornia_rua,25.2,4.9,3.8,19.4,NA,NA,NA,NA,NA,29.8,5.2,NA,34.8,NA,11.65,34.7,4.9,4.8,NA,NA,NA,NA,Steadman_1986
Zapornia_sandwichensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,Olson_1999
Zapornia_severnsi,24.52,4.38,3.38,17.8,NA,NA,11.6,NA,NA,35.46,6.2,6.08,54.73,NA,5.02,36.03,5.3,5.18,NA,NA,NA,NA,James_1991
Zapornia_sp_Hawaii_Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,54,NA,4.9,32.9,NA,5.1,NA,NA,NA,NA,James_1991
Zapornia_sp_Hawaii_Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,4.22,4.22,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,James_1991
Zapornia_sp_Kauai_Great,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James_1991
Zapornia_sp_Kauai_Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4.7,NA,NA,NA,NA,28.2,4.6,4.7,NA,NA,NA,NA,James_1991
Zapornia_sp_Mangaia,26,5,3.8,20.6,NA,NA,NA,NA,NA,30.1,4.4,NA,31.1,NA,NA,28.5,3.8,3.8,NA,NA,NA,NA,Steadman_1986
Zapornia_sp_Maui,19.6,NA,NA,NA,NA,NA,NA,NA,NA,27.4,4.4,4.6,42.5,NA,3.8,26.1,3.8,4,NA,NA,NA,NA,James_1991
Zapornia_ziegleri,18.18,NA,NA,12.85,NA,NA,8.37,NA,NA,23.94,3.93,3.3,21.75,3.43,3.6,212.5,3.4,3.3,NA,NA,NA,NA,James_1991
