species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Microgoura_meeki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,Fuller_2001
Micropalama_chapmani,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,4,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Campbell_1979
Milvago_alexandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,8.2,9.1,NA,NA,NA,NA,Olson_1976a
Milvago_brodkorbi,NA,NA,NA,80.6,9.6,NA,43.8,5.1,NA,56.2,10.8,10.4,79.4,8.9,9.1,59.8,10,9.7,NA,NA,NA,NA,Suarez_2003c
Milvago_carbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,85.7,11.4,12.5,NA,NA,NA,NA,Suarez_2003c
Molothrus_resinosus,NA,NA,6.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.59,NA,NA,NA,Steadman_2020c
Mullerornis_modestus,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.5,NA,NA,435,65,61,297.5,73.65,69.65,NA,NA,NA,NA,Hansford_2018
Mundia_elpenor,26.34,5.84,3.95,20.13,NA,NA,13.84,NA,NA,34.51,NA,5.8,55.29,NA,5.02,35.48,5.31,5.4,NA,NA,NA,NA,Olson_1973
Mwalau_walterlinii,NA,26.4,NA,136,14,NA,NA,NA,NA,NA,NA,NA,NA,16.5,16.3,102.1,NA,NA,NA,NA,NA,NA,Worthy_2015
Mycteria_wetmorei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,17.7,21.3,NA,NA,NA,NA,Suarez_2003b
Nannococcyx_psix,NA,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Olson_1975a
Nannonetta_invisitata,65,14.5,10.5,56.3,7.4,NA,40.3,4.4,NA,37.1,7.7,8,58.5,6.6,6.6,35.3,7.1,7.5,NA,NA,NA,NA,Campbell_1979
Natunaornis_gigoura,NA,35.8,NA,NA,NA,NA,77.2,24.5,12.4,NA,35.65,NA,164.5,28.8,NA,121,29.5,29.1,NA,NA,NA,NA,Worthy_2001a
Necropsar_rodericanus,33.4,NA,NA,38.5,NA,NA,22.5,NA,NA,33,NA,NA,55.5,NA,NA,38.5,NA,NA,NA,NA,NA,NA,Gunther_1879
Necropsar_rodericanus,33.6,8.3,7.4,38,4.8,4.5,22.6,5.4,NA,32.9,6.4,6.6,57,6.7,5.2,38.4,5.8,4.5,NA,18.9,3.8,3.5,Hume_2014
Necropsittacus_rodricanus,53,NA,NA,57,NA,NA,NA,NA,NA,47.5,NA,NA,61,NA,NA,22,NA,NA,NA,NA,NA,NA,Gunther_1879
