species,body_mass,reference_id
Accipiter_sp_Abaco,130.6,This study [Similar size to close relative]
Alectroenas_sp_Reunion,173,This study [Similar size to close relative]
Pampusana_ferruginea,114.6,This study [Proportional size to close relative]
Amazona_martinicana,529.5,This study [Similar size to close relative]
Amazona_sp_Montserrat,213,This study [Similar size to close relative]
Amazona_sp_GrandTurk,500,This study [Similar size to close relative]
Amazona_violacea,529.5,This study [Similar size to close relative]
Anas_sp_StPaul,276.4,This study [Similar size to close relative]
Anas_sp_VitiLevu,499.1,This study [Similar size to close relative]
Ara_guadeloupensis,343,This study [Similar size to close relative]
Laterallus_sp_FernandoNoronha,84.1,This study [Similar size to close relative]
Bubo_sp_Eivissa,516.25,This study [Similar size to close relative]
Buteogallus_milleri,1100,This study [Similar size to close relative]
Cacatua_sp_NewCaledonia,535,This study [Similar size to close relative]
Cacatua_sp_NewIreland,485,This study [Similar size to close relative]
Horornis_sp_Eua,12.7,This study [Similar size to close relative]
Chaetoptila_sp_Maui,97,This study [Similar size to close relative]
Coenocorypha_sp_Norfolk,97.5,This study [Similar size to close relative]
Corvus_sp_NewIreland,558.8,This study [Proportional size to close relative]
Dendrocygna_sp_Aitutaki,1150,This study [Similar size to close relative]
Erythrura_sp_Rota,19.4,This study [Similar size to close relative]
Gallicolumba_sp_Rota,275,This study [Similar size to close relative]
Gallirallus_sp_Haafeva,226,This study [Similar size to close relative]
Gallirallus_sp_Rurutu,226,This study [Similar size to close relative]
Gallirallus_sp_Saipan,226,This study [Similar size to close relative]
Hypotaenidia_pacifica,99.2,This study [Similar size to close relative]
Hypotaenidia_sp_Norfolk,226,This study [Similar size to close relative]
Lalage_sp_Eua,30.3,This study [Similar size to close relative]
Megapodius_sp_Buka,681,This study [Proportional size to close relative]
Megapodius_sp_Eua,277.2,This study [Proportional size to close relative]
Megapodius_sp_NewIreland,681,This study [Proportional size to close relative]
Myiagra_sp_Tonga,12.1,This study [Similar size to close relative]
Myiagra_sp_UaHuka,12.1,This study [Similar size to close relative]
Neochen_barbadiana,1250,This study [Similar size to close relative]
Orthonyx_hypsilophus,153.61,This study [Proportional size to close relative]
Pareudiastes_sp_Buka,450,This study [Similar size to close relative]
Phasianus_yanshansis,941.1,This study [Proportional size to close relative]
Phoenicopterus_copei,3031.59,This study [Similar size to close relative]
Phorusrhacidae_sp_Uruguay,10000,This study [Similar size to close relative]
Pomarea_pomarea,25.4,This study [Similar size to close relative]
Porphyrio_sp_Mangaia,83.34,This study [Proportional size to close relative]
Porphyrio_sp_NewIreland,506,This study [Proportional size to close relative]
Porphyrio_sp_Norfolk,773.88,This study [Similar size to close relative]
Porphyrio_sp_Tinian,1000,This study [Similar size to close relative]
Prosobonia_ellisi,36,This study [Similar size to close relative]
Prosobonia_sp_Mangaia,36,This study [Similar size to close relative]
Psittacara_labati,87,This study [Similar size to close relative]
Psittacidae_sp_Reunion,214,This study [Similar size to close relative]
Psittacidae_sp_Rota,235,This study [Similar size to close relative]
Tadorna_sp_Chatham,1695,This study [Proportional size to close relative]
Turdus_sp_Madeira,143,This study [Similar size to close relative]
Tyto_sp_NewIreland_1,403.3,This study [Similar size to close relative]
Tyto_sp_NewIreland_2,631.9,This study [Similar size to close relative]
Vini_sp_Guam,40,This study [Similar size to close relative]
Zapornia_sp_Aguijan,35,This study [Similar size to close relative]
Zapornia_sp_Guam,35,This study [Similar size to close relative]
Zapornia_sp_Rota,35,This study [Similar size to close relative]
Zapornia_sp_Tinian,35,This study [Similar size to close relative]
Zapornia_sp_UaHuka_Large,77.4,This study [Similar size to close relative]
Zapornia_sp_UaHuka_Small,42.2,This study [Similar size to close relative]
Foudia_delloni,26.5,Triantis_2022
Macropygia_heana,85.85,Triantis_2022
Porphyrio_caerulescens,773.88,Triantis_2022
Ptilinopus_sp_Tubuai,168,Triantis_2022
Zapornia_nigra,60,Triantis_2022
Tongoenas_burleyi,1402.5,This study [Similar size to close relative]
